study_id,dataset_title,doi,url,total_downloads,total_views,publications,data_downloads,documentation_downloads,unique_users,num_institutions,status,error_message,timestamp
128281," Post Offices and Banks by Census Tract, United States, 2003-2017",10.3886/E128281,https://www.openicpsr.org/openicpsr/project/128281/version/V1/view,115,931.0,,,,,,success,,2026-06-01 14:49:10
128282,"Post Offices and Banks by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E128282,https://www.openicpsr.org/openicpsr/project/128282/version/V1/view,32,414.0,,,,,,success,,2026-06-01 14:49:12
128841,"Broadband Internet Availability and Speed by ZIP Code Tabulation Area, United States, 2014-2020",10.3886/E128841,https://www.openicpsr.org/openicpsr/project/128841/version/V1/view,273,3789.0,,,,,,success,,2026-06-01 14:49:13
128862,"Land Cover by ZIP Code Tabulation Area, United States, 2001-2016",10.3886/E128862,https://www.openicpsr.org/openicpsr/project/128862/version/V1/view,109,1811.0,,,,,,success,,2026-06-01 14:49:15
130282,"Public Transit Stops by ZIP Code Tabulation Area, United States, 2016-2018",10.3886/E130282,https://www.openicpsr.org/openicpsr/project/130282/version/V1/view,110,1749.0,,,,,,success,,2026-06-01 14:49:16
130542,"Urbanicity by Census Tract, United States, 2010",10.3886/E130542,https://www.openicpsr.org/openicpsr/project/130542/version/V1/view,102,1493.0,,,,,,success,,2026-06-01 14:49:17
134561,"Street Connectivity by ZIP Code Tabulation Area, United States, 2010",10.3886/E134561,https://www.openicpsr.org/openicpsr/project/134561/version/V1/view,31,981.0,,,,,,success,,2026-06-01 14:49:18
155022,"Internet Access by Census Tract, United States, 2015-2019",10.3886/E155022,https://www.openicpsr.org/openicpsr/project/155022/version/V1/view,62,452.0,,,,,,success,,2026-06-01 14:49:20
155025,"Internet Access by ZIP Code Tabulation Area, United States, 2015-2019",10.3886/E155025,https://www.openicpsr.org/openicpsr/project/155025/version/V1/view,44,437.0,,,,,,success,,2026-06-01 14:49:21
156024,"School Counts by Census Tract, United States, 2000-2018",10.3886/E156024,https://www.openicpsr.org/openicpsr/project/156024/version/V1/view,74,478.0,,,,,,success,,2026-06-01 14:49:22
156041,"School Counts by ZIP Code Tabulation Area, United States, 2000-2018",10.3886/E156041,https://www.openicpsr.org/openicpsr/project/156041/version/V1/view,36,334.0,,,,,,success,,2026-06-01 14:49:23
156042,"School Counts and Characteristics by School District, United States, 2000-2018",10.3886/E156042,https://www.openicpsr.org/openicpsr/project/156042/version/V1/view,61,606.0,,,,,,success,,2026-06-01 14:49:24
156043,"Neighborhood-School Gap by Census Tract, United States, 2009-2010 and 2015-2016",10.3886/E156043,https://www.openicpsr.org/openicpsr/project/156043/version/V1/view,63,498.0,,,,,,success,,2026-06-01 14:49:27
156045,"Neighborhood-School Gap by ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",10.3886/E156045,https://www.openicpsr.org/openicpsr/project/156045/version/V1/view,24,536.0,,,,,,success,,2026-06-01 14:49:28
159902,"Primary and Secondary Roads by Census Tract, United States, 2010",10.3886/E159902,https://www.openicpsr.org/openicpsr/project/159902/version/V1/view,56,843.0,,,,,,success,,2026-06-01 14:49:29
159941,"Primary and Secondary Roads by ZIP Code Tabulation Area, United States, 2010",10.3886/E159941,https://www.openicpsr.org/openicpsr/project/159941/version/V1/view,18,899.0,,,,,,success,,2026-06-01 14:49:31
159961,"Polluting Sites by Census Tract, United States, 2000-2018",10.3886/E159961,https://www.openicpsr.org/openicpsr/project/159961/version/V1/view,125,1047.0,,,,,,success,,2026-06-01 14:49:32
159981,"Polluting Sites by ZIP Code Tabulation Area, United States, 2000-2018",10.3886/E159981,https://www.openicpsr.org/openicpsr/project/159981/version/V1/view,58,543.0,,,,,,success,,2026-06-01 14:49:33
160261,"Traffic Volume by ZIP Code Tabulation Area, United States, 1963-2019",10.3886/E160261,https://www.openicpsr.org/openicpsr/project/160261/version/V1/view,186,2836.0,,,,,,success,,2026-06-01 14:49:34
160262,"Traffic Volume by Census Tract, United States, 1963-2019",10.3886/E160262,https://www.openicpsr.org/openicpsr/project/160262/version/V1/view,197,2038.0,,,,,,success,,2026-06-01 14:49:36
305511,"Parks and Proximity to Polluting Sites by Census Tract and ZIP Code Tabulation Area (ZCTA), United States, 2024",10.3886/ICPSR305511,https://www.icpsr.umich.edu/sites/icpsr/view/studies/305511,0,,,,,,,success,,2026-06-01 14:49:37
