study_id,year,month,data_downloads,documentation_downloads,total_downloads,timestamp
38579,2026,3,6,12,18,2026-05-13 10:54:26
38579,2026,5,6,12,18,2026-05-13 10:54:26
38580,2022,11,2,12,14,2026-05-13 10:54:26
38580,2023,1,2,11,13,2026-05-13 10:54:26
38580,2023,2,12,50,62,2026-05-13 10:54:26
38580,2023,3,32,65,97,2026-05-13 10:54:26
38580,2023,4,8,19,27,2026-05-13 10:54:26
38580,2023,5,0,8,8,2026-05-13 10:54:26
38580,2023,6,5,10,15,2026-05-13 10:54:26
38580,2023,7,4,8,12,2026-05-13 10:54:26
38580,2023,9,1,51,52,2026-05-13 10:54:26
38580,2023,10,2,8,10,2026-05-13 10:54:26
38580,2023,12,677,911,1588,2026-05-13 10:54:26
38580,2024,1,81,114,195,2026-05-13 10:54:26
38580,2024,2,20,52,72,2026-05-13 10:54:26
38580,2024,3,11,27,38,2026-05-13 10:54:26
38580,2024,4,19,47,66,2026-05-13 10:54:26
38580,2024,5,69,160,229,2026-05-13 10:54:26
38580,2024,6,35,109,144,2026-05-13 10:54:26
38580,2024,7,15,41,56,2026-05-13 10:54:26
38580,2024,8,10,20,30,2026-05-13 10:54:26
38580,2024,9,0,4,4,2026-05-13 10:54:26
38580,2024,10,21,44,65,2026-05-13 10:54:26
38580,2024,11,20,60,80,2026-05-13 10:54:26
38580,2024,12,9,30,39,2026-05-13 10:54:26
38580,2025,1,28,71,99,2026-05-13 10:54:26
38580,2025,2,40,89,129,2026-05-13 10:54:26
38580,2025,3,15,34,49,2026-05-13 10:54:26
38580,2025,4,36,89,125,2026-05-13 10:54:26
38580,2025,5,2,12,14,2026-05-13 10:54:26
38580,2025,6,11,34,45,2026-05-13 10:54:26
38580,2025,7,4,21,25,2026-05-13 10:54:26
38580,2025,8,5,22,27,2026-05-13 10:54:26
38580,2025,9,5,18,23,2026-05-13 10:54:26
38580,2025,10,12,31,43,2026-05-13 10:54:26
38580,2025,11,0,8,8,2026-05-13 10:54:26
38580,2025,12,10,43,53,2026-05-13 10:54:26
38580,2026,1,40,115,155,2026-05-13 10:54:26
38580,2026,2,14,35,49,2026-05-13 10:54:26
38580,2026,3,25,68,93,2026-05-13 10:54:26
38580,2026,4,13,35,48,2026-05-13 10:54:26
38580,2026,5,6,16,22,2026-05-13 10:54:26
38584,2022,11,0,8,8,2026-05-13 10:54:26
38584,2022,12,3,7,10,2026-05-13 10:54:26
38584,2023,1,3,10,13,2026-05-13 10:54:26
38584,2023,2,2,4,6,2026-05-13 10:54:26
38584,2023,3,14,28,42,2026-05-13 10:54:26
38584,2023,4,6,12,18,2026-05-13 10:54:26
38584,2023,7,8,17,25,2026-05-13 10:54:26
38584,2023,8,2,4,6,2026-05-13 10:54:26
38584,2023,9,7,42,49,2026-05-13 10:54:26
38584,2023,10,9,20,29,2026-05-13 10:54:26
38584,2023,11,16,47,63,2026-05-13 10:54:26
38584,2023,12,31,39,70,2026-05-13 10:54:26
38584,2024,1,10,21,31,2026-05-13 10:54:26
38584,2024,2,21,58,79,2026-05-13 10:54:26
38584,2024,3,16,33,49,2026-05-13 10:54:26
38584,2024,4,19,39,58,2026-05-13 10:54:26
38584,2024,5,44,97,141,2026-05-13 10:54:26
38584,2024,6,14,29,43,2026-05-13 10:54:26
38584,2024,7,18,38,56,2026-05-13 10:54:26
38584,2024,8,5,10,15,2026-05-13 10:54:26
38584,2024,9,12,27,39,2026-05-13 10:54:26
38584,2024,10,2,5,7,2026-05-13 10:54:26
38584,2024,11,24,53,77,2026-05-13 10:54:26
38584,2024,12,13,27,40,2026-05-13 10:54:26
38584,2025,1,12,29,41,2026-05-13 10:54:26
38584,2025,2,21,47,68,2026-05-13 10:54:26
