study_id,archive,deposit_via,status,title,version,version_date,doi,url
119803,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Parks by ZIP Code Tabulation Area, United States, 2018",V1,,10.3886/E119803V1,https://www.openicpsr.org/openicpsr/project/119803/version/V1/view
120462,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Socioeconomic Status and Demographic Characteristics of ZIP Code Tabulation Areas, United States, 2008-2017",V1,,10.3886/E120462V1,https://www.openicpsr.org/openicpsr/project/120462/version/V1/view
120463,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Health Care Services by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E120463V1,https://www.openicpsr.org/openicpsr/project/120463/version/V1/view
120907,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Health Care Services by Census Tract, United States, 2003-2017",V1,,10.3886/E120907V1,https://www.openicpsr.org/openicpsr/project/120907/version/V1/view
121741,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Eating and Drinking Places by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E121741V1,https://www.openicpsr.org/openicpsr/project/121741/version/V1/view
123001,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Grocery Stores by Census Tract, United States, 2003-2017",V1,,10.3886/E123001V1,https://www.openicpsr.org/openicpsr/project/123001/version/V1/view
123042,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Grocery Stores by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E123042V1,https://www.openicpsr.org/openicpsr/project/123042/version/V1/view
123541,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Liquor, Tobacco, and Convenience Stores by Census Tract, United States, 2003-2017",V1,,10.3886/E123541V1,https://www.openicpsr.org/openicpsr/project/123541/version/V1/view
123542,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Liquor, Tobacco, and Convenience Stores by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E123542V1,https://www.openicpsr.org/openicpsr/project/123542/version/V1/view
123801,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Dollar Stores by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E123801V1,https://www.openicpsr.org/openicpsr/project/123801/version/V1/view
123802,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Dollar Stores by Census Tract, United States, 2003-2017",V1,,10.3886/E123802V1,https://www.openicpsr.org/openicpsr/project/123802/version/V1/view
124721,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Religious, Civic, and Social Organizations by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E124721V1,https://www.openicpsr.org/openicpsr/project/124721/version/V1/view
124801,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Law Enforcement Organizations by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E124801V1,https://www.openicpsr.org/openicpsr/project/124801/version/V1/view
125223,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Arts, Entertainment, and Recreation Organizations by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E125223V1,https://www.openicpsr.org/openicpsr/project/125223/version/V1/view
125781,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Voter Registration, Turnout, and Partisanship by County, United States, 2004-2018",V1,,10.3886/E125781V1,https://www.openicpsr.org/openicpsr/project/125781/version/V1/view
126082,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Social Services by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E126082V1,https://www.openicpsr.org/openicpsr/project/126082/version/V1/view
127042,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Retail Establishments by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E127042V1,https://www.openicpsr.org/openicpsr/project/127042/version/V1/view
127262,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Personal Care Services and Laundromats by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E127262V1,https://www.openicpsr.org/openicpsr/project/127262/version/V1/view
